label,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
[C0] Myanmar/Shan,0.098667,0.030667,-0.119333,0.080667,-0.003333,-0.087333
[C2] Nicaragua/Jinotega,0.007436,0.000513,-0.063333,-0.004103,0.10359,-0.044103
[C2] Nicaragua/Matagalpa,-0.095556,-0.148889,-0.092222,-0.035556,0.214444,0.157778
[noise] Nicaragua/Nueva Segovia,0.179722,0.111389,-0.138611,-0.083611,0.069722,-0.138611
[C4] Panama/Chiriquí,-0.009167,-0.051667,-0.071667,0.028333,-0.094167,0.198333
[C0] Papua New Guinea/Eastern Highlands,0.136667,0.226667,-0.363333,0.136667,-0.193333,0.056667
[C2] Peru/Cajamarca,0.006111,-0.050556,-0.190556,-0.023889,0.256111,0.002778
[noise] Peru/Huánuco,-0.208333,-0.128333,-0.208333,0.041667,0.291667,0.211667
[noise] Peru/Lambayeque,-0.121667,0.038333,-0.041667,-0.041667,0.128333,0.038333
[C3] Peru/Puno,0.056667,0.056667,-0.193333,-0.033333,0.056667,0.056667
[C2] Philippines/Cordillera,0.005833,-0.159167,-0.159167,-0.034167,0.130833,0.215833
[C1] Philippines/Davao,-0.251667,-0.001667,0.088333,-0.001667,-0.001667,0.168333
[noise] Philippines/Northern Mindanao,0.011667,0.011667,0.101667,0.011667,-0.068333,-0.068333
[C3] Rwanda/Northern,0.025,0.115,-0.055,0.025,-0.055,-0.055
[noise] Taiwan/Changhua,0.078889,0.078889,0.037222,-0.102778,0.010556,-0.102778
[C5] Taiwan/Chiayi,0.100556,0.053889,-0.002778,0.036111,-0.103889,-0.083889
[C5] Taiwan/Miaoli,0.34,0.215,0.05,-0.115,-0.245,-0.245
[C4] Taiwan/Nantou,0.061574,-0.053981,-0.059537,-0.055093,0.04713,0.059907
[C4] Taiwan/New Taipei,0.141667,-0.028333,-0.028333,-0.028333,-0.028333,-0.028333
[C2] Taiwan/Pingtung,0.236667,-0.183333,-0.343333,-0.183333,0.156667,0.316667
[C5] Taiwan/Taichung,0.155,0.081667,-0.021667,-0.049444,-0.068333,-0.097222
[C2] Taiwan/Tainan,0.02549,-0.023922,-0.106863,0.006078,0.079608,0.019608
[C4] Taiwan/Taitung,-0.055,0.025,0.115,-0.225,-0.055,0.195
[noise] Taiwan/Yunlin,0.07,0.043333,0.013333,-0.07,0.04,-0.096667
"[C4] Tanzania, United Republic Of/Arusha",0.07451,-0.033137,-0.064314,0.019804,0.00451,-0.001373
"[C2] Tanzania, United Republic Of/Kilimanjaro",0.098333,-0.14,-0.096667,0.056667,0.07,0.011667
"[C4] Tanzania, United Republic Of/Mbeya",0.080556,-0.031111,-0.002778,-0.001111,-0.042778,-0.002778
"[C4] Tanzania, United Republic Of/Ruvuma",0.094762,-0.046667,-0.058095,0.010476,0.023333,-0.02381
[C1] Thailand/Chiang Rai,-0.124074,0.07037,-0.004074,0.044815,-0.002963,0.015926
[noise] Uganda/Central,0.255833,-0.034167,-0.034167,-0.159167,0.130833,-0.159167
[C5] Uganda/Eastern,0.17127,0.033651,-0.097778,-0.006825,-0.03873,-0.061587
[C2] Uganda/Southern,0.195,-0.135,-0.225,0.025,0.115,0.025
[C5] Uganda/West Nile,0.250833,0.125833,-0.044167,0.000833,-0.209167,-0.124167
[noise] Uganda/Western,0.092167,0.024167,-0.125833,-0.015833,0.067167,-0.041833
[C2] United States (Hawaii)/Kona,-0.010429,-0.017399,-0.086338,0.015783,0.042298,0.056086
[C2] United States (Puerto Rico)/Yauco,0.050417,-0.057083,-0.117083,0.005417,0.067917,0.050417
[noise] Vietnam/Lâm Đồng,0.0475,0.0325,-0.2175,-0.080833,0.144167,0.074167
[C2] Zambia/Southern,0.225,-0.365,-0.025,-0.115,0.305,-0.025
