label,country,admin1,cluster,Aroma,Flavor,Aftertaste,Acidity,Body,Balance
Indonesia/North Sumatra,Indonesia,North Sumatra,コク深い・後味すっきり・あっさり (C2),0.009667,-0.024333,-0.124333,0.023667,0.091667,0.023667
Indonesia/Sulawesi,Indonesia,Sulawesi,独自の味わい,0.061667,0.061667,-0.228333,-0.188333,0.186667,0.106667
Japan/Okinawa,Japan,Okinawa,独自の味わい,-0.013333,-0.013333,-0.013333,-0.343333,0.316667,0.066667
Kenya/Central,Kenya,Central,独自の味わい,-0.037917,0.044583,-0.077917,0.147083,0.044583,-0.120417
Kenya/Kiambu,Kenya,Kiambu,酸味しっかり・香り控えめ (C1),-0.197222,0.049444,-0.117222,0.162778,0.022778,0.079444
Kenya/Kirinyaga,Kenya,Kirinyaga,後味すっきり・酸味しっかり (C0),0.003333,0.003333,-0.086667,0.163333,-0.086667,0.003333
Kenya/Meru,Kenya,Meru,香り華やか・軽やか (C5),0.426667,0.016667,0.016667,-0.073333,-0.403333,0.016667
Kenya/Murang'a,Kenya,Murang'a,後味すっきり・酸味しっかり (C0),0.051667,-0.028333,-0.028333,0.221667,-0.108333,-0.108333
Kenya/Nyeri,Kenya,Nyeri,バランス良好 (C4),0.039444,0.009444,-0.045,0.048333,-0.100556,0.048333
Laos/Champasak,Laos,Champasak,香り華やか・軽やか (C5),0.160833,0.115833,-0.089167,-0.089167,-0.089167,-0.009167
Malawi/Northern,Malawi,Northern,後味すっきり・酸味しっかり (C0),0.161852,0.006296,-0.152593,0.05963,-0.062593,-0.012593
Malawi/Southern,Malawi,Southern,独自の味わい,0.255833,-0.034167,-0.034167,-0.159167,0.005833,-0.034167
Mauritius/Rivière Noire,Mauritius,Rivière Noire,独自の味わい,0.04,0.04,-0.04,-0.04,0.04,-0.04
Mexico/Chiapas,Mexico,Chiapas,後味すっきり・酸味しっかり (C0),0.090516,0.002207,-0.129202,0.048967,0.027136,-0.039624
Mexico/Colima,Mexico,Colima,独自の味わい,-0.03375,0.06875,-0.01625,0.11125,0.07125,-0.20125
Mexico/Guerrero,Mexico,Guerrero,後味すっきり (C3),0.031875,0.134375,-0.145625,-0.051875,0.010625,0.020625
Mexico/Hidalgo,Mexico,Hidalgo,香り華やか・軽やか (C5),0.138846,0.108077,-0.071923,-0.064231,-0.103462,-0.007308
Mexico/Jalisco,Mexico,Jalisco,バランス良好 (C4),0.033333,0.003333,-0.023333,0.033333,-0.05,0.003333
Mexico/Nayarit,Mexico,Nayarit,独自の味わい,-0.481667,0.148333,-0.351667,-0.101667,-0.231667,1.018333
Mexico/Oaxaca,Mexico,Oaxaca,後味すっきり・酸味しっかり (C0),0.122204,-0.006183,-0.132634,0.070914,0.009946,-0.064247
Mexico/Puebla,Mexico,Puebla,コク深い・後味すっきり・あっさり (C2),0.0725,-0.065,-0.19,0.03,0.12375,0.02875
Mexico/Veracruz,Mexico,Veracruz,後味すっきり・酸味しっかり (C0),0.091914,-0.004707,-0.164437,0.107725,0.025428,-0.055923
Myanmar/Mandalay,Myanmar,Mandalay,独自の味わい,-0.052778,0.137222,-0.166111,0.250556,0.027222,-0.196111
Myanmar/Shan,Myanmar,Shan,後味すっきり・酸味しっかり (C0),0.098667,0.030667,-0.119333,0.080667,-0.003333,-0.087333
Nicaragua/Jinotega,Nicaragua,Jinotega,コク深い・後味すっきり・あっさり (C2),0.007436,0.000513,-0.063333,-0.004103,0.10359,-0.044103
Nicaragua/Matagalpa,Nicaragua,Matagalpa,コク深い・後味すっきり・あっさり (C2),-0.095556,-0.148889,-0.092222,-0.035556,0.214444,0.157778
Nicaragua/Nueva Segovia,Nicaragua,Nueva Segovia,独自の味わい,0.179722,0.111389,-0.138611,-0.083611,0.069722,-0.138611
Panama/Chiriquí,Panama,Chiriquí,バランス良好 (C4),-0.009167,-0.051667,-0.071667,0.028333,-0.094167,0.198333
Papua New Guinea/Eastern Highlands,Papua New Guinea,Eastern Highlands,後味すっきり・酸味しっかり (C0),0.136667,0.226667,-0.363333,0.136667,-0.193333,0.056667
Peru/Cajamarca,Peru,Cajamarca,コク深い・後味すっきり・あっさり (C2),0.006111,-0.050556,-0.190556,-0.023889,0.256111,0.002778
Peru/Huánuco,Peru,Huánuco,独自の味わい,-0.208333,-0.128333,-0.208333,0.041667,0.291667,0.211667
