,Species,Country.of.Origin,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Moisture,Total.Cup.Points,Cluster,FlavorCluster,Country_Group,Processing_Group,Variety_Group
822,Arabica,Nicaragua,,Washed / Wet,7.58,7.42,7.25,7.17,7.5,7.67,10.0,10.0,10.0,0.12,81.92,3,丸み系,その他,ウォッシュド,その他
823,Arabica,Zambia,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,0.0,81.92,3,丸み系,その他,ウォッシュド,その他
824,Arabica,Honduras,,Washed / Wet,7.42,7.33,7.33,7.58,7.33,7.5,10.0,10.0,10.0,0.11,81.92,1,酸味系,Honduras,ウォッシュド,その他
825,Arabica,Taiwan,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,0.11,81.92,0,香り系,Taiwan,その他,Typica
826,Arabica,Mexico,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,0.12,81.92,1,酸味系,Mexico,ウォッシュド,Bourbon
827,Arabica,Mexico,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,0.13,81.92,1,酸味系,Mexico,セミウォッシュド,Typica
828,Arabica,Mexico,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,0.14,81.92,1,酸味系,Mexico,ウォッシュド,Mundo Novo
829,Arabica,Mexico,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,0.12,81.92,1,酸味系,Mexico,ウォッシュド,Other
830,Arabica,Mexico,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,0.12,81.92,1,酸味系,Mexico,ウォッシュド,Bourbon
831,Arabica,Brazil,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,0.12,81.92,1,酸味系,Brazil,ナチュラル,Mundo Novo
832,Arabica,Colombia,,,7.67,7.33,7.33,7.58,7.33,7.33,10.0,10.0,10.0,0.09,81.92,1,酸味系,Colombia,その他,その他
833,Arabica,Guatemala,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,0.1,81.83,1,酸味系,Guatemala,ウォッシュド,Bourbon
834,Arabica,Costa Rica,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,0.0,81.83,2,コク・バランス系,Costa Rica,ハニー,Catuai
835,Arabica,Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,0.11,81.83,1,酸味系,Brazil,ナチュラル,Mundo Novo
836,Arabica,Indonesia,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,0.11,81.83,1,酸味系,その他,その他,Other
837,Arabica,Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,0.1,81.83,1,酸味系,Guatemala,ウォッシュド,Bourbon
838,Arabica,Brazil,Yellow Bourbon,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10.0,10.0,10.0,0.0,81.83,1,酸味系,Brazil,ナチュラル,Yellow Bourbon
839,Arabica,Brazil,Yellow Bourbon,Natural / Dry,7.58,7.0,6.92,6.92,7.67,7.5,10.0,10.0,10.0,0.0,81.83,3,丸み系,Brazil,ナチュラル,Yellow Bourbon
840,Arabica,Myanmar,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,0.0,81.83,2,コク・バランス系,その他,ウォッシュド,Catuai
841,Arabica,Mexico,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,0.11,81.83,0,香り系,Mexico,ウォッシュド,Catuai
842,Arabica,Honduras,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,0.12,81.83,1,酸味系,Honduras,ウォッシュド,Catuai
843,Arabica,Costa Rica,Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,0.09,81.83,0,香り系,Costa Rica,ウォッシュド,Caturra
844,Arabica,Taiwan,Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,0.0,81.83,1,酸味系,Taiwan,ウォッシュド,Typica
845,Arabica,Indonesia,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,0.11,81.83,2,コク・バランス系,その他,その他,Typica
846,Arabica,Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,0.13,81.83,1,酸味系,その他,ウォッシュド,その他
847,Arabica,Brazil,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,0.11,81.83,1,酸味系,Brazil,ナチュラル,Bourbon
848,Arabica,Honduras,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,0.1,81.83,1,酸味系,Honduras,ナチュラル,Caturra
849,Arabica,Mexico,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,0.11,81.83,1,酸味系,Mexico,ウォッシュド,Typica
850,Arabica,Colombia,Caturra,Washed / Wet,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,10.0,0.0,81.83,1,酸味系,Colombia,ウォッシュド,Caturra
851,Arabica,United States (Hawaii),Hawaiian Kona,Natural / Dry,7.83,7.83,7.83,8.0,7.83,7.83,10.0,6.67,10.0,0.0,81.83,1,酸味系,United States (Hawaii),ナチュラル,Hawaiian Kona
852,Arabica,Brazil,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,0.12,81.83,1,酸味系,Brazil,セミウォッシュド,Bourbon
853,Arabica,Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10.0,9.33,0.11,81.83,3,丸み系,Guatemala,ウォッシュド,Bourbon
854,Arabica,Mexico,Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,0.12,81.83,1,酸味系,Mexico,ウォッシュド,Bourbon
855,Arabica,Mexico,Typica,Semi-washed / Semi-pulped,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,10.0,0.12,81.83,1,酸味系,Mexico,セミウォッシュド,Typica
856,Arabica,Brazil,Mundo Novo,,7.33,7.67,7.25,7.5,7.5,7.25,10.0,10.0,10.0,0.02,81.83,1,酸味系,Brazil,その他,Mundo Novo
857,Arabica,Colombia,,,7.58,7.5,7.17,7.58,7.33,7.33,10.0,10.0,10.0,0.05,81.83,1,酸味系,Colombia,その他,その他
858,Arabica,United States (Hawaii),,,7.25,7.58,7.83,7.67,7.75,7.75,9.33,9.33,10.0,0.02,81.83,2,コク・バランス系,United States (Hawaii),その他,その他
859,Arabica,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,0.11,81.75,1,酸味系,Guatemala,ウォッシュド,Bourbon
860,Arabica,Vietnam,Caturra,Washed / Wet,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,0.12,81.75,2,コク・バランス系,その他,ウォッシュド,Caturra
861,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,0.12,81.75,0,香り系,"Tanzania, United Republic Of",ウォッシュド,Other
862,Arabica,Brazil,,Natural / Dry,7.17,7.25,7.17,7.25,7.42,8.25,10.0,10.0,10.0,0.1,81.75,3,丸み系,Brazil,ナチュラル,その他
863,Arabica,Mexico,Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,0.13,81.75,0,香り系,Mexico,ウォッシュド,Bourbon
864,Arabica,Mexico,Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,0.13,81.75,1,酸味系,Mexico,ウォッシュド,Mundo Novo
865,Arabica,Mexico,Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,0.11,81.75,1,酸味系,Mexico,ウォッシュド,Typica
866,Arabica,Mexico,Caturra,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,10.0,0.12,81.75,1,酸味系,Mexico,ウォッシュド,Caturra
867,Arabica,Mexico,Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,10.0,0.12,81.75,1,酸味系,Mexico,ウォッシュド,Typica
868,Arabica,Colombia,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,0.0,81.75,2,コク・バランス系,Colombia,ウォッシュド,Caturra
869,Arabica,Colombia,,,7.42,7.58,6.92,7.08,7.25,8.0,10.0,10.0,10.0,0.08,81.75,3,丸み系,Colombia,その他,その他
870,Arabica,Brazil,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,0.11,81.67,1,酸味系,Brazil,ナチュラル,Bourbon
871,Arabica,Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,0.1,81.67,1,酸味系,Guatemala,ウォッシュド,Bourbon
872,Arabica,Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,0.12,81.67,1,酸味系,Guatemala,ウォッシュド,Bourbon
873,Arabica,Honduras,Catuai,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10.0,10.0,10.0,0.11,81.67,0,香り系,Honduras,ウォッシュド,Catuai
874,Arabica,"Tanzania, United Republic Of",,,7.17,7.33,7.33,7.42,7.5,7.33,10.0,10.0,10.0,0.0,81.67,2,コク・バランス系,"Tanzania, United Republic Of",その他,その他
875,Arabica,Nicaragua,,,7.58,7.5,7.25,7.25,7.5,7.25,10.0,10.0,10.0,0.1,81.67,1,酸味系,その他,その他,その他
876,Arabica,Colombia,,,7.75,7.75,7.75,7.67,5.25,7.83,10.0,10.0,10.0,0.0,81.67,0,香り系,Colombia,その他,その他
877,Arabica,Brazil,Yellow Bourbon,Natural / Dry,7.25,7.75,6.92,7.42,7.5,7.58,10.0,10.0,10.0,0.0,81.67,1,酸味系,Brazil,ナチュラル,Yellow Bourbon
878,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10.0,10.0,10.0,0.12,81.67,1,酸味系,"Tanzania, United Republic Of",ウォッシュド,Other
879,Arabica,"Tanzania, United Republic Of",Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,0.12,81.67,2,コク・バランス系,"Tanzania, United Republic Of",ウォッシュド,Other
880,Arabica,Brazil,Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,0.1,81.67,2,コク・バランス系,Brazil,ウォッシュド,Bourbon
881,Arabica,Indonesia,Sumatra,Semi-washed / Semi-pulped,7.17,7.42,7.33,7.42,7.33,7.42,10.0,10.0,10.0,0.11,81.67,2,コク・バランス系,その他,セミウォッシュド,その他
882,Arabica,Honduras,Caturra,Natural / Dry,7.5,7.33,7.5,7.5,7.17,7.17,10.0,10.0,10.0,0.1,81.67,0,香り系,Honduras,ナチュラル,Caturra
883,Arabica,Costa Rica,Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,10.0,0.11,81.67,1,酸味系,Costa Rica,ウォッシュド,Caturra
884,Arabica,Mexico,,Washed / Wet,7.42,7.42,7.67,8.0,7.58,7.5,9.33,9.33,10.0,0.0,81.67,2,コク・バランス系,Mexico,ウォッシュド,その他
885,Arabica,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10.0,10.0,10.0,0.11,81.67,0,香り系,Taiwan,セミウォッシュド,Typica
886,Arabica,Taiwan,Typica,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10.0,10.0,10.0,0.11,81.67,1,酸味系,Taiwan,ウォッシュド,Typica
887,Arabica,Mexico,Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,0.12,81.67,1,酸味系,Mexico,ウォッシュド,Typica
888,Arabica,Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,10.0,0.11,81.67,0,香り系,Guatemala,ウォッシュド,Bourbon
889,Arabica,Mexico,Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,0.13,81.67,2,コク・バランス系,Mexico,ウォッシュド,Typica
890,Arabica,Mexico,Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,0.11,81.67,1,酸味系,Mexico,ウォッシュド,Bourbon
891,Arabica,Mexico,Bourbon,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,10.0,0.11,81.67,1,酸味系,Mexico,ウォッシュド,Bourbon
892,Arabica,Mexico,Bourbon,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,10.0,0.11,81.67,1,酸味系,Mexico,ウォッシュド,Bourbon
893,Arabica,Mexico,Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,10.0,0.11,81.67,3,丸み系,Mexico,セミウォッシュド,Caturra
